"lang"
{
    "Language"    "Russian"
"DOTA_Tooltip_ability_warlock_boss_shadow_word_damage"						"%УРОН ОТ МАКС. ЗДОРОВЬЯ:"
"DOTA_Tooltip_ability_warlock_boss_shadow_word_heal"						"%ИСЦЕЛЕНИЕ В СЕКУНДУ:"
"DOTA_Tooltip_ability_warlock_boss_shadow_word_heal_golem"						"%ИСЦЕЛЕНИЕ В СЕКУНДУ (ГОЛЕМ):"
"DOTA_Tooltip_ability_warlock_boss_shadow_word_radius"						"РАДИУС:"
"DOTA_Tooltip_ability_warlock_boss_shadow_word_duration"						"ДЛИТЕЛЬНОСТЬ:"


"DOTA_Tooltip_modifier_warlock_boss_shadow_word_heal"					"Shadow Word"
"DOTA_Tooltip_modifier_warlock_boss_shadow_word_heal_Description"					"Наносит чистый урон каждую секунду. Исцеление и регенерация снижены на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_LIFESTEAL_AMPLIFY_PERCENTAGE%%%</font></b>"

"DOTA_Tooltip_modifier_warlock_boss_shadow_word_cd"					"Shadow Word"
"DOTA_Tooltip_modifier_warlock_boss_shadow_word_cd_Description"					"Перезарядка Shadow Word"




"DOTA_Tooltip_ability_warlock_boss_golem_fists_passive"							"Flaming Fists"
"DOTA_Tooltip_ability_warlock_boss_golem_fists_passive_Description"				"Каждая атака голема увеличивает входящий урон по цели на %damage%%% на %duration% сек. Эффект суммируется %max_1% раз.<br><br>Если призыватель голема погибает, урон голема увеличивается на %death_damage%%%, скорость атаки на %death_speed%, скорость передвижения на %death_move%%%, а входящий урон снижается на %death_incoming%%%<br><br><b><font color='#fb9531'>На 22 волне:</font></b><br>Эффект увеличения урона суммируется %max_2% раз вместо %max_1% раз"


"DOTA_Tooltip_modifier_warlock_boss_golem_fists_debuff"					"Flaming Fists"
"DOTA_Tooltip_modifier_warlock_boss_golem_fists_debuff_Description"					"Входящий урон увеличен на <b><font color='#ff0000'>%dMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%</font></b>"







"DOTA_Tooltip_modifier_tower_incoming_push_reduce"					"Backdoor protection"
"DOTA_Tooltip_modifier_tower_incoming_push_reduce_Description"					"Владелец постройки атакует вражескую базу или патрульных крипов!<br><br>Входящий урон снижен на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%%%</font></b><br>(Не работает на владельца атакованной базы)"






"DoubleRating"	"Удвоить рейтинг"
"DoubleRating_used" "Удвоил рейтинг"
"DoubleRating_active" "<b><font color='#53ea48'>Удвоить</font></b> рейтинг за победу или поражение<br><br>Перезарядка: 72 часа"
"DoubleRating_not_sub" "Требуется подписка Dota1x6 plus!<br><br>Подписка позволяет <b><font color='#53ea48'>удвоить</font></b> рейтинг за победу или поражение"
"DoubleRating_cd" "Вы уже использовали двойной рейтинг<br><br>Перезарядка: "
"DoubleRating_cd_2" " ч."

"DoubleRating_show_info" "Показывать другим игрокам, что вы использовали удвоение рейтинга"





"shards_random_bonus" "+15% бонус"
"shards_random_bonus_short" "+15%"
"RandomBonus_info"	"За игру на случайном герое вы получаете на <b><font color='#53ea48'>15%</font></b> больше осколков и очков опыта героя<br><br>Эффект не работает на задания"

"Donate_hero" "Для подписчиков Dota 1x6 plus"
"Donate_hero_plus" "Подписаться"

"Donate_hero_info" "Это новый герой!<br><br>В <b><font color='#cbb600'>первую неделю</font></b> он доступен только подписчикам Dota 1x6 plus"

"Shop_Inventory" "Инвентарь"
"Shop_Shop" "Магазин"

"Shop_Heroes_List" "Прогресс героев"
"Shop_Heroes_Show" "Скрыть уровень"


"Shop_Heroes_Show" "Скрыть уровень"
"shop_show_level_info" "Скрыть уровень вашего героя, чтобы другие игроки не смогли его видеть"


"buy" "Купить"
"close" "Закрыть"
"shop_button_sub"	"Dota 1x6 plus"
"shop_button_heroes"	"Прогресс<br>героев"
"shop_button_chat"	"Колесо чата"
"shop_button_items"	"Магазин"
"shop_button_inventory"	"Инвентарь"
"shop_button_vote"	"Голосование<br>за героя"


"pass_header_bot" "Что дает подписка?"
"pass_header_top1" "Dota 1x6 plus"
"pass_header_top2" "Игровой помощник"

"pass_active_sub" "Подписка активна еще"
"pass_active_sub_days" " д."
"pass_active_sub_hours" " ч."


"pass_header_sale" "<b><font color='#53ea48'></font></b>"
"buy_shards"	"Пополнить"
"bonus_shards"	"Бонус"

"shop_buy_shards"	"Пополнить осколки"

"bonus_panel_top" "Ежедневный бонус!"

"bonus_shards_notactive" "Вы уже получили ежедневый бонус!<br><br>Перезарядка: "
"bonus_shards_active" "Ежедневный бонус дает вам <b><font color='#ffc97b'>10 - 30</font></b> осколков"
"bonus_shards_max" "<b><font color='#ba0000'>Вы накопили максимум осколков!</font></b><br>Подписка <b><font color='#ffc97b'>Dota 1x6 plus</font></b> снимает ограничение"

"bonus_shards_random" "Вы получате случайно <b><font color='#ffc97b'>10 - 30</font></b> осколков"


"shop_buy_shards_1" "2000 осколков"
"shop_buy_shards_2" "10000 осколков"
"shop_buy_shards_3" "35000 осколков"
"shop_buy_shards_4" "100000 осколков"


"shop_buy_shards_1_button" "Купить: 149 рублей"
"shop_buy_shards_2_button" "Купить: 699 рублей"
"shop_buy_shards_3_button" "Купить: 2299 рублей"
"shop_buy_shards_4_button" "Купить: 5999 рублей"

"shop_buy_shards_2_sale" "-7%"
"shop_buy_shards_3_sale" "-12%"
"shop_buy_shards_4_sale" "-20%"


"shop_buy_shards_text"	"<b><font color='#ffc97b'>Околки</font></b> - валюта магазина, на которую вы сможете купить питомцев, фразы чата и предметы.<br>Вы получаете осколки за каждый <b><font color='#ffc97b'>сыгранный матч</font></b><br><br>Без подписки Dota 1x6 Plus вы не сможете накопить более <b><font color='#ffc97b'>500 осколков</font></b> таким образом<br><br>Вы также можете <b><font color='#ffc97b'>купить осколки</font></b> не зависимо от подписки Dota 1x6 plus"

"soon_ingame"	"Скоро в игре"

"shop_equip"	"Надеть"
"shop_unequip"	"Снять"	
"shop_buy"	"Купить"


"shop_hero_sounds"	"Фразы героя"

"pass_header_top_button" "Подписаться"
"pass_header_top_button_active" "Продлить"

"pass_buy_top" "Подписка Dota 1x6 plus"

"pass_buy_mid" "Действует скидка <b><font color='#53ea48'>25%</font></b> на все виды подписок!<br><br>Дата окончания скидки: <b><font color='#ffc97b'>17.05.2023</font></b>"

"pass_buy_mid_no_sale" "В настоящий момент нет активных скидок"

"shop_shards_info"	"<b><font color='#ffc97b'>Околки</font></b> - валюта магазина, на которую вы сможете купить питомцев, фразы чата и предметы.<br>Вы получаете осколки за каждый <b><font color='#ffc97b'>сыгранный матч</font></b><br><br>Без подписки Dota 1x6 Plus вы не сможете накопить более <b><font color='#ffc97b'>500 осколков</font></b> таким образом<br><br>Вы также можете <b><font color='#ffc97b'>купить осколки</font></b> не зависимо от подписки Dota 1x6 plus"

"chat_wheel_general"	"Кнопка <b><font color='#ffc97b'>общего</font></b> колеса чата: "
"chat_wheel_hero" "Кнопка <b><font color='#ffc97b'>геройского</font></b> колеса чата: "

"chat_wheel_russian" 	"Фразы на Русском"
"chat_wheel_english" 	"Фразы на Английском"
"chat_wheel_all" 	"Общие фразы"


"pass_buy_button1" "Подписка на месяц"
"pass_buy_button2" "Подписка на 3 месяца"
"pass_buy_button3" "Подписка на полгода"


"empty"	"Пусто"

"pass_buy_cost1" "<b><font color='#ffc97b'>299 рублей</font></b>"
"pass_buy_cost2" "<b><font color='#ffc97b'>849 рублей</font></b> скидка 5%"
"pass_buy_cost3" "<b><font color='#ffc97b'>1599 рублей</font></b> скидка 10%"



"pass_buy_cost1_sale_left" "399 рублей"
"pass_buy_cost2_sale_left" "379 рублей"
"pass_buy_cost3_sale_left" "359 рублей"


"pass_buy_cost1_sale_right" "299 рублей"
"pass_buy_cost2_sale_right" "285 рублей"
"pass_buy_cost3_sale_right" "269 рублей"


"Sub_info" "Подписка <b><font color='#ffb240'>Dota 1x6 plus</font></b>:<br><br>• Позволяет получать <b><font color='#ffb240'>опыт героя</font></b> за каждый матч. Опыт увеличивает уровень героя, открывая доступ к фразам и новым медалям<br><br>• Снимает <b><font color='#ffa444'>ограничение</font></b> на получение осколков за матч. Осколки можно тратить в магазине на косметические предметы<br><br>• Позволяет <b><font color='#ffa444'>удвоить</font></b> количество рейтинга за победу или поражение<br><br>А также многое другое! Изучите, кликнув по кнопке <b><font color='#ffb240'>'Подписаться'</font></b>"

"level_no_sub" "Требуется Dota 1x6 plus"


"pass_1"	"Повышайте <b><font color='#ffb240'>уровень</font></b> своих любимых героев!<br><br>За каждый сыгранный матч вы сможете получать опыт, увеличивающий уровень героя. Повышая уровень, вы получаете новые медали и <b><font color='#ffb240'>фразы геройского колеса чата</font></b>"

"pass_2"	"Dota 1x6 plus <b><font color='#ffb240'>снимает ограничение</font></b> на получение осколков за матчи<br><br><b><font color='#ffb240'>Осколки</font></b> можно потратить в магазине на фразы колеса чата, питомцев, а также косметические предметы"

"pass_3"	"Получите доступ к <b><font color='#ffb240'>новым героям</font></b> раньше всех!<br><br>В первую неделю выхода, новые герои будут доступны только подписчикам <b><font color='#ffb240'>Dota 1x6 plus</font></b>"

"pass_4"	"На сайте Dota1x6.com вы получите доступ к разделу <b><font color='#ffb240'>'Статистика'</font></b><br><br>В этом разделе вы сможете изучить процент побед и количество игр всех героев и их <b><font color='#ffb240'>легендарных талантов</font></b>"


"pass_5"	"Раз в 3 дня вы сможете <b><font color='#ffb240'>удвоить рейтинг</font></b> за матч<br><br>Но будьте аккуратны! Поражение также отнимет в 2 раза больше рейтинга"

"pass_6"	"Участвуйте в <b><font color='#ffb240'>голосованиях</font></b> за нового героя!<br><br>С каждым выходом нового героя, открывается голосование за следующего героя. В нем, подписчики Dota 1x6 plus смогут каждый день <b><font color='#ffb240'>бесплатно</font></b> голосовать за 1 из 3 героев"

"pass_7"	"Во время игры вы сможете смотреть статистику всего <b><font color='#ffb240'>полученного и нанесенного урона</font></b><br><br>Так будет легче понять какой герой для вас самый опасный и какая способность у вас наиболее полезна"


"pets"	"Питомцы"

"items"	"Предметы"


"quests_date"	"Дата обновления заданий: "
"quests_top"	 "Задания"
"quests_sub"	"Доступно только с Dota 1x6 plus"

"vote_top"	"Голосование за следующего героя"
"vote_top_end"	"Голосование окончено!"
"vote_buy"	"Пополнить"
"vote_buy_window"	"Пополнить голоса: "
"vote_count"	"Количество голосов: "
"vote_free"	"Получить бесплатный голос"
"vote_free_plus"	"Требуется Dota 1x6 plus"
"vote_free_cd"	"Перезарядка: "
"vote_free_cd_hour"	" часа"
"vote_free_cd_hour_2"	" час"

"vote_for_hero" "Проголосовать"

"vote_hero_won" "Победивший герой:"

"vote"	"Голосовать"

"vote_end_date" "Дата окончания голосования: "

"vote_hero_won_date"	"Примерная дата выхода: <b><font color='#fdec85'>Начало Января 2023</font></b>"

"active_vote_top" "Проходит голосование за <b><font color='#ffa142'>нового героя</font></b>!"


"pets_1"	"Pudgeling"
"pets_2"	"Patch, Stash and Hobb"
"pets_3"	"Duskie"
"pets_4"	"Redpaw"
"pets_5"	"Beaver Knight"
"pets_6"	"Shagbark the Plush"
"pets_7"	"Baby Roshan"
"pets_8"	"Cluckles the Brave"
"pets_9"	"Courier"
"pets_10"	"Wabbit"
"pets_11" "Hakobi and Tenneko"
"pets_12" "Butch"
"pets_13"	"Braze the Donkey"
"pets_14"	"Captain Bamboo"
"pets_15"	"El Gato"
"pets_16"	"Itsy"
"pets_17"	"Ice Wolf"
"pets_18"	"Blueheart Familiar"
"pets_19"	"Almond the Frondillo"
"pets_20"	"Dire Courier"
"pets_21"	"Krobeling"
"pets_22"	"Honey Baby Roshan"
"pets_23"	"Ginger Baby Roshan"
"pets_24"	"Jade Baby Roshan"
"pets_25"	"Ice Baby Roshan"
"pets_26"	"Lava Baby Roshan"
"pets_27"	"Doomling"
"pets_28"	"Platinum Baby Roshan"
"pets_29"	"Cosmic Baby Roshan"
"pets_30"	"Brightsky Soul Booster"
"pets_31"	"Brightsky Truesigth"
"pets_32"	"Brightsky Ultimate Orb"
"pets_33"	"Brightsky Refresher Orb"
"pets_34"	"Brightsky Octarine Core"
"pets_35"	"Brightsky Aegis"
"pets_36"	"Huntling"
"pets_37"	"Pouches"
"pets_38"	"Seekling"
"pets_39"	"Venoling"
"pets_40"	"Faceless Rex"
"pets_41"	"Fiery Jujak"
"pets_42"	"Bearzky"
"pets_43"	"Coco the Courageous"
"pets_44"	"Tinkbot"
"pets_45"	"Weaselcrow"
"pets_46"	"Delivery Frog"
"pets_47"	"Waldi the Faithful"
"pets_48"	"Wyvern Hatchling"
"pets_49"	"Amaterasu"
"pets_50"	"Oculopus"
"pets_51"	"Lefty Octarine"
"pets_52"	"Lefty Ultimate Orb"
"pets_53"	"Lefty Refresher Orb"
"pets_54"	"Lefty Linken Sphere"
"pets_55"	"Lefty Aegis"
"pets_56"	"Hexgill the Shark"









"HeroQuestsTop" "Задания"

"HeroQuestsTop_select" "Выберите задание"

"QuestsNoSub"  "Требуется подписка <b><font color='#ffc97b'>Dota 1x6 plus</font></b>"
"QuestGoal" "<br>Цель: "
"QuestCd" "До обновления: "
"QuestReward"	"Награда: "
"QuestReward2"	" осколков; "
"QuestReward3"  " опыта"
"QuestDiscWin" "Для выполнения задания необходимо занять минимум 3 место"


"NoQuests" "Нет доступных заданий"

"QuestCompleted"  "Задание<br>Выполнено!"

"dota_sound_error" "Перезарядка "




"General.Quest_1"	"Убейте нейтральных крипов"
"General.Quest_2"	"Убейте патрульных крипов"
"General.Quest_3"	"Уничтожьте вражеские Observer Wards или Sentry Wards"
"General.Quest_4"	"Убейте вражеских героев"
"General.Quest_5"	"Заработайте золото, используя Hand of Midas"
"General.Quest_6"	"Подбирайте руны богатства"
"General.Quest_7"	"Изучите одинаковый обычный талант несколько раз"
"General.Quest_8"	"Изучите несколько редких талантов до 3 уровня"
"General.Quest_9"	"Изучите несколько общих эпических талантов"
"General.Quest_10"	"Нанесите вражеским героям физический урон"
"General.Quest_11"	"Нанесите вражеским героям чистый урон"
"General.Quest_12"	"Нанесите вражеским героям магический урон"
"General.Quest_13"	"Нанесите урон героям, находясь под действием Black King Bar"
"General.Quest_14"	"Нанесите урон вражеским постройкам"
"General.Quest_15"	"Нанесите урон героям в течение 3 сек после применения Blink Dagger"
"General.Quest_16"	"Убейте героев в течение 10 секунд после развеивания Smoke of Deceit"
"General.Quest_17"	"Убейте древних крипов"

"DOTA_Tooltip_modifier_item_custom_smoke_quest_kill"					"Smoke of Deceit"
"DOTA_Tooltip_modifier_item_custom_smoke_quest_kill_Description"		"Убейте героев в течение 10 секунд после развеивания Smoke of Deceit"














"Voice.Snapfire.1_1"	"Смех"
"Voice.Snapfire.1_2"	"Хочешь печенье? Очень жаль!" 
"Voice.Snapfire.2_1"	"Ну ка не груби старшим." 
"Voice.Snapfire.2_2"	"Поздоровайся с моим маленьким другом!"
"Voice.Snapfire.3_1"	"А ноги тебе зачем?!" 
"Voice.Snapfire.3_2"	"Из вас такая милая парочка!" 
"Voice.Snapfire.4_1"	"Это был лучший исход для всех! Кроме тебя." 
"Voice.Snapfire.5_1"	"Дураки. Все вокруг дураки."
"Voice.Snapfire.6_1"	"А, ты глупее тыквы. Но я не жалуюсь." 


"Snapfire.Quest_1"	"Займите 1 место, используя основной легендарный талант Scatterblast"
"Snapfire.Quest_2"	"Займите 1 место, используя основной легендарный талант Firesnap Cookie"
"Snapfire.Quest_3"	"Займите 1 место, используя основной легендарный талант Lil Shredder"
"Snapfire.Quest_4"	"Займите 1 место, используя основной легендарный талант Mortimer Kisses"


"Snapfire.Quest_5"	"Попадите в упор способностью Scatterblast по героям"
"Snapfire.Quest_6"	"Оглушите героев с помощью Firesnap Cookie"
"Snapfire.Quest_7"	"Совершите атаки по героям с помощью Lil Shredder"
"Snapfire.Quest_8"	"Нанесите магический урон героям с помощью Mortimer Kisses"




"card_info_text" "Подробнее"


"DOTA_Tooltip_ability_snapfire_scatterblast_custom"					"Scatterblast"
"DOTA_Tooltip_ability_snapfire_scatterblast_custom_Description"		"Герой стреляет из дробовика по конической области действия, нанося врагам урон и замедляя их. Выстрел в упор наносит на %point_blank_dmg_bonus_pct%%% урона больше."
"DOTA_Tooltip_ability_snapfire_scatterblast_shard_description"	"Выстрел в упор наносит ещё больше урона, а также отталкивает и оглушает врагов."
"DOTA_Tooltip_ability_snapfire_scatterblast_custom_Lore"				"Мерзавчик — любимая пушка из коллекции Беатришы. Его она соорудила, чтобы всегда было чем защищаться в Чужеземье."
"DOTA_Tooltip_ability_snapfire_scatterblast_custom_damage"				"УРОН:"
"DOTA_Tooltip_ability_snapfire_scatterblast_custom_debuff_duration"	"ДЛИТЕЛЬНОСТЬ ЗАМЕДЛЕНИЯ:"
"DOTA_Tooltip_ability_snapfire_scatterblast_custom_point_blank_range"	"ДАЛЬНОСТЬ ВЫСТРЕЛА В УПОР:"
"DOTA_Tooltip_ability_snapfire_scatterblast_custom_movement_slow_pct"	"%ЗАМЕДЛЕНИЕ ПЕРЕДВИЖЕНИЯ:"
"DOTA_Tooltip_ability_snapfire_scatterblast_custom_attack_slow_pct"	"ЗАМЕДЛЕНИЕ АТАКИ:"
		

"DOTA_Tooltip_modifier_snapfire_scatterblast_custom_debuff"					"Замедление от Scatterblast"
"DOTA_Tooltip_modifier_snapfire_scatterblast_custom_debuff_Description"		"Передвижение замедлено на %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"


"hero_change_npc_dota_hero_snapfire_1" "Способность может быть использована на <b><font color='#53ea48'>точку</font></b>"
"hero_change_npc_dota_hero_snapfire_2" "Перезарядка снижена на <b><font color='#53ea48'>3</font></b> сек, а оглушение на <b><font color='#ff0000'>0.6</font></b> сек"
"hero_change_npc_dota_hero_snapfire_3" "Перезарядка начинается по окончании эффекта. Перезарядка снижена на <b><font color='#53ea48'>3</font></b> сек"
"hero_change_npc_dota_hero_snapfire_4" "Урон снижен с 20/45/70/95 до <b><font color='#ff0000'>20/40/60/80</font></b>"
"hero_change_npc_dota_hero_snapfire_5" "Атаки поражают <b><font color='#53ea48'>2</font></b> дополнительные цели (без модификаторов)"
"hero_change_npc_dota_hero_snapfire_6" "Минимальная дистанция снижена с 600 до <b><font color='#53ea48'>400</font></b>"
"hero_change_npc_dota_hero_snapfire_7" "Aghanim Scepter изменен"


"npc_dota_hero_snapfire_legendary_1"		"Применение разных способностей вызывает срабатывание Scatterblast"
"npc_dota_hero_snapfire_legendary_2" 		"Атаки могут создать печенье рядом с целью. Подобрав печенье, вы завершите перезарядку Firesnap Cookie"
"npc_dota_hero_snapfire_legendary_3" 		"Lil Shredder больше не имеет ограничение на количество атак. Если вы атакуете без остановки, вы получаете оглушение"
"npc_dota_hero_snapfire_legendary_4"  		"Новая способность<br><br>Призывает драконью жабу, которая применит ослабленную версию Mortimer Kisses"




"font_disc_modifier_snapfire_scatter_1" "23"
"upgrade_disc_modifier_snapfire_scatter_1_1" "<b><font color='#53ea48'>-1</font></b> сек перезарядки Scatterblast"
"upgrade_disc_modifier_snapfire_scatter_1_2" "<b><font color='#53ea48'>-2</font></b> сек перезарядки Scatterblast"
"upgrade_disc_modifier_snapfire_scatter_1_3" "<b><font color='#53ea48'>-3</font></b> сек перезарядки Scatterblast"

"talent_disc_modifier_snapfire_scatter_1_0" "<b><font color='#297016'>-1</font></b>/<b><font color='#297016'>-2</font></b>/<b><font color='#297016'>-3</font></b> сек перезарядки Scatterblast"
"talent_disc_modifier_snapfire_scatter_1_1" "<b><font color='#53ea48'>-1</font></b>/<b><font color='#297016'>-2</font></b>/<b><font color='#297016'>-3</font></b> сек перезарядки Scatterblast"
"talent_disc_modifier_snapfire_scatter_1_2" "<b><font color='#297016'>-1</font></b>/<b><font color='#53ea48'>-2</font></b>/<b><font color='#297016'>-3</font></b> сек перезарядки Scatterblast"
"talent_disc_modifier_snapfire_scatter_1_3" "<b><font color='#297016'>-1</font></b>/<b><font color='#297016'>-2</font></b>/<b><font color='#53ea48'>-3</font></b> сек перезарядки Scatterblast"




"font_disc_modifier_snapfire_scatter_2" "21"
"upgrade_disc_modifier_snapfire_scatter_2_1" "<b><font color='#53ea48'>+20%</font></b> к множителю урона Scatterblast в упор"
"upgrade_disc_modifier_snapfire_scatter_2_2" "<b><font color='#53ea48'>+30%</font></b> к множителю урона Scatterblast в упор"
"upgrade_disc_modifier_snapfire_scatter_2_3" "<b><font color='#53ea48'>+40%</font></b> к множителю урона Scatterblast в упор"

"talent_disc_modifier_snapfire_scatter_2_0" "<b><font color='#297016'>+20%</font></b>/<b><font color='#297016'>+30%</font></b>/<b><font color='#297016'>+40%</font></b> к множителю урона Scatterblast в упор"
"talent_disc_modifier_snapfire_scatter_2_1" "<b><font color='#53ea48'>+20%</font></b>/<b><font color='#297016'>+30%</font></b>/<b><font color='#297016'>+40%</font></b> к множителю урона Scatterblast в упор"
"talent_disc_modifier_snapfire_scatter_2_2" "<b><font color='#297016'>+20%</font></b>/<b><font color='#53ea48'>+30%</font></b>/<b><font color='#297016'>+40%</font></b> к множителю урона Scatterblast в упор"
"talent_disc_modifier_snapfire_scatter_2_3" "<b><font color='#297016'>+20%</font></b>/<b><font color='#297016'>+30%</font></b>/<b><font color='#53ea48'>+40%</font></b> к множителю урона Scatterblast в упор"




"font_disc_modifier_snapfire_scatter_3" "20"
"upgrade_disc_modifier_snapfire_scatter_3_1" "<b><font color='#53ea48'>+0.4</font></b> сек длительности замедления Scatterblast<br><br>Scatterblast также снижает наносимый противником урон на <b><font color='#53ea48'>10%</font></b>"
"upgrade_disc_modifier_snapfire_scatter_3_2" "<b><font color='#53ea48'>+0.6</font></b> сек длительности замедления Scatterblast<br><br>Scatterblast также снижает наносимый противником урон на <b><font color='#53ea48'>15%</font></b>"
"upgrade_disc_modifier_snapfire_scatter_3_3" "<b><font color='#53ea48'>+0.8</font></b> сек длительности замедления Scatterblast<br><br>Scatterblast также снижает наносимый противником урон на <b><font color='#53ea48'>20%</font></b>"

"talent_disc_modifier_snapfire_scatter_3_0" "<b><font color='#297016'>+0.4</font></b>/<b><font color='#297016'>+0.6</font></b>/<b><font color='#297016'>+0.8</font></b> сек длительности замедления Scatterblast<br><br>Scatterblast также снижает наносимый противником урон на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>"
"talent_disc_modifier_snapfire_scatter_3_1" "<b><font color='#53ea48'>+0.4</font></b>/<b><font color='#297016'>+0.6</font></b>/<b><font color='#297016'>+0.8</font></b> сек длительности замедления Scatterblast<br><br>Scatterblast также снижает наносимый противником урон на <b><font color='#53ea48'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#297016'>20%</font></b>"
"talent_disc_modifier_snapfire_scatter_3_2" "<b><font color='#297016'>+0.4</font></b>/<b><font color='#53ea48'>+0.6</font></b>/<b><font color='#297016'>+0.8</font></b> сек длительности замедления Scatterblast<br><br>Scatterblast также снижает наносимый противником урон на <b><font color='#297016'>10%</font></b>/<b><font color='#53ea48'>15%</font></b>/<b><font color='#297016'>20%</font></b>"
"talent_disc_modifier_snapfire_scatter_3_3" "<b><font color='#297016'>+0.4</font></b>/<b><font color='#297016'>+0.6</font></b>/<b><font color='#53ea48'>+0.8</font></b> сек длительности замедления Scatterblast<br><br>Scatterblast также снижает наносимый противником урон на <b><font color='#297016'>10%</font></b>/<b><font color='#297016'>15%</font></b>/<b><font color='#53ea48'>20%</font></b>"



"font_disc_modifier_snapfire_scatter_4" "17"
"upgrade_disc_modifier_snapfire_scatter_4_1" "Попадания в упор увеличивают урон Scatterblast на <b><font color='#53ea48'>30</font></b> и снижают анимацию применения Scatterblast на 0.1<br><br>Эффект суммируется 4 раза и теряет 1 заряд если Scatterblast не наносит урон в упор"
"upgrade_disc_modifier_snapfire_scatter_4_2" "Попадания в упор увеличивают урон Scatterblast на <b><font color='#53ea48'>50</font></b> и снижают анимацию применения Scatterblast на 0.1<br><br>Эффект суммируется 4 раза и теряет 1 заряд если Scatterblast не наносит урон в упор"

"talent_disc_modifier_snapfire_scatter_4_0" "Попадания в упор увеличивают урон Scatterblast на <b><font color='#297016'>30</font></b>/<b><font color='#297016'>50</font></b> и снижают анимацию применения Scatterblast на 0.1<br><br>Эффект суммируется 4 раза и теряет 1 заряд если Scatterblast не наносит урон в упор"
"talent_disc_modifier_snapfire_scatter_4_1" "Попадания в упор увеличивают урон Scatterblast на <b><font color='#53ea48'>30</font></b>/<b><font color='#297016'>50</font></b> и снижают анимацию применения Scatterblast на 0.1<br><br>Эффект суммируется 4 раза и теряет 1 заряд если Scatterblast не наносит урон в упор"
"talent_disc_modifier_snapfire_scatter_4_2" "Попадания в упор увеличивают урон Scatterblast на <b><font color='#297016'>30</font></b>/<b><font color='#53ea48'>50</font></b> и снижают анимацию применения Scatterblast на 0.1<br><br>Эффект суммируется 4 раза и теряет 1 заряд если Scatterblast не наносит урон в упор"
"mini_disc_modifier_snapfire_scatter_4" "Попадания в упор увеличивают урон и скорость применения Scatterblast"



"DOTA_tooltip_modifier_snapfire_scatterblast_custom_stack" "Scatterblast"
"DOTA_Tooltip_modifier_snapfire_scatterblast_custom_stack_description" "Урон Scatterblast увеличен на <b><font color='#53ea48'>%dMODIFIER_PROPERTY_TOOLTIP%</font></b>, задержка перед применением снижена"


"font_disc_modifier_snapfire_scatter_5" "18"
"upgrade_disc_modifier_snapfire_scatter_5_1" "Выстрел Scatterblast в упор отталкивает противников и обезоруживает их на <b><font color='#53ea48'>1.5</font></b> сек<br><br>Перезарядка для каждой цели: 5 секунд"
"mini_disc_modifier_snapfire_scatter_5" "Scatterblast в упор обезоруживает и отталкивает"





"font_disc_modifier_snapfire_scatter_6" "18"
"upgrade_disc_modifier_snapfire_scatter_6_1" "<b><font color='#53ea48'>+100</font></b> к дальности выстрела Scatterblast в упор<br><br>Попадания в упор восстанавливают вам <b><font color='#53ea48'>15%</font></b> от недостающего здоровья и увеличивают вашу скорость передвижения на <b><font color='#53ea48'>30%</font></b> на 2 сек"
"mini_disc_modifier_snapfire_scatter_6" "Scatterblast в упор исцеляет и увеличивает скорость передвижения"


"font_disc_modifier_snapfire_scatter_7" "17"
"upgrade_disc_modifier_snapfire_scatter_7" "<b><font color='#fb9531'>Scatterblast</font></b>: Попадания в упор сокращают перезарядку на 60%<br><br><b><font color='#fb9531'>Firesnap Cookie</font></b>: Завершает перезарядку Scatterblast<br><br><b><font color='#fb9531'>Lil Shredder</font></b>: Применяет Scatterblast на 6 выстреле<br><br><b><font color='#fb9531'>Mortimer Kisses</font></b>: Применяет Scatterblast перед собой раз в 1.5 сек" 
"mini_disc_modifier_snapfire_scatter_7" "Применение разных способностей вызывает срабатывание Scatterblast"





"DOTA_Tooltip_ability_snapfire_firesnap_cookie_custom"				"Firesnap Cookie"
"DOTA_Tooltip_ability_snapfire_firesnap_cookie_custom_Description"	"Герой скармливает бодрящую печеньку Мортимеру или союзнику, отчего тот совершает прыжок на небольшое расстояние, оглушая врагов в области приземления и нанося им урон.<br><br><b><font color='#53ea48'>Способность может быть использована на точку</font></b>"
"DOTA_Tooltip_ability_snapfire_firesnap_cookie_custom_shard_description"	"Печенька становится ещё мощнее, отчего дальность прыжка увеличивается до %shard_distance%, а в точку приземления выплёвывается шар от Mortimer's Kisses."
"DOTA_Tooltip_ability_snapfire_firesnap_cookie_custom_Note0"		"Печенье летит со скоростью %projectile_speed%."
